Links,Address,Description,Price
https://www.rightmove.co.uk/properties/122689955#/?channel=RES_BUY,"Fleet Street, City Of London, London, EC4Y",1 bedroom flat for sale,"£700,000"
https://www.rightmove.co.uk/properties/85826064#/?channel=RES_BUY,"Sugar Quay, London, City of EC3R",2 bedroom flat for sale,"£1,699,000"
https://www.rightmove.co.uk/properties/80180424#/?channel=RES_BUY,"Dyer's Building, Pink Mews, EC1",1 bedroom apartment for sale,"£999,950"
https://www.rightmove.co.uk/properties/85599186#/?channel=RES_BUY,"Ben Jonson House, Barbican EC2",2 bedroom penthouse for sale,"£1,275,000"
https://www.rightmove.co.uk/properties/123896093#/?channel=RES_BUY,"Andrewes House, Barbican, London",1 bedroom apartment for sale,"£825,000"
https://www.rightmove.co.uk/properties/96618907#/?channel=RES_BUY,"Roman House, Wood Street, London, EC2Y",1 bedroom apartment for sale,"£800,000"
https://www.rightmove.co.uk/properties/123747887#/?channel=RES_BUY,"Ben Jonson House, Barbican, London, EC2Y",1 bedroom apartment for sale,"£775,000"
https://www.rightmove.co.uk/properties/123730433#/?channel=RES_BUY,"Moor Lane, London, EC2Y",1 bedroom flat for sale,"£850,000"
https://www.rightmove.co.uk/properties/125675591#/?channel=RES_BUY,"One Bishopsgate Plaza -   Houndsditch , City Of London, EC3A 7AB.",2 bedroom flat for sale,"£2,120,000"
https://www.rightmove.co.uk/properties/96569134#/?channel=RES_BUY,"Moor Lane, London, EC2Y",2 bedroom flat for sale,"£1,200,000"
https://www.rightmove.co.uk/properties/128304278#/?channel=RES_BUY,"Fetter Lane, London",Studio flat for sale,"£385,000"
https://www.rightmove.co.uk/properties/122815163#/?channel=RES_BUY,"Pinks Mews, Holborn, EC1N",2 bedroom apartment for sale,"£1,650,000"
https://www.rightmove.co.uk/properties/126193715#/?channel=RES_BUY,"27 Minories, London, United Kingdom, EC3N",1 bedroom flat for sale,"£619,950"
https://www.rightmove.co.uk/properties/122769653#/?channel=RES_BUY,"St Dunstan's House, Fetter Lane, EC4A",2 bedroom apartment for sale,"£1,375,000"
https://www.rightmove.co.uk/properties/112002938#/?channel=RES_BUY,"Defoe House, Barbican, London, EC2Y",1 bedroom apartment for sale,"£825,000"
https://www.rightmove.co.uk/properties/127448531#/?channel=RES_BUY,"The Cadogan, The Westin Residences, London, EC4V",3 bedroom apartment for sale,"£4,150,000"
